population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,199,Western Sub-Saharan Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2018,19.771120088804143,53.44353606083112,4.581282058731379
1,All Population,1,Deaths,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2018,25.303676233014546,62.745964298123575,6.333225220053096
1,All Population,1,Deaths,263,Western Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2023,19.122087578159864,50.48480777442575,4.452125242781041
1,All Population,1,Deaths,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2019,25.317737874053957,62.82548290396221,6.345970161186209
1,All Population,1,Deaths,199,Western Sub-Saharan Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2019,20.20431320023635,54.116111549827984,4.684279079129351
1,All Population,1,Deaths,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2020,25.159146587054234,62.575151809081824,6.267377645059843
1,All Population,1,Deaths,199,Western Sub-Saharan Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2020,19.98523945687084,53.37406313569148,4.588222521513921
1,All Population,1,Deaths,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2021,25.582945179423263,63.95636762050249,6.402222173433817
1,All Population,1,Deaths,199,Western Sub-Saharan Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2021,20.274533931476984,53.82428163045041,4.620330755819624
1,All Population,1,Deaths,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2022,26.119663908306777,65.1739140387425,6.508875361931438
1,All Population,1,Deaths,199,Western Sub-Saharan Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2022,19.54808219931117,51.811069248062594,4.520334791811656
1,All Population,1,Deaths,1,Global,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2023,25.78311446287501,62.59374548478184,6.384073198491517
1,All Population,1,Deaths,199,Western Sub-Saharan Africa,3,Both,27,Age-standardized,543,Alzheimer's disease and other dementias,3,Rate,2023,19.3709966153051,51.258511286961735,4.511273137699488
